starttime	seconds	ctime	dtime	ttime	wait
Tue Mar 22 14:19:42 2022	1647933582	2	2239	2240	2238
Tue Mar 22 14:20:46 2022	1647933646	0	2254	2255	2254
Tue Mar 22 14:20:46 2022	1647933646	0	2261	2261	2261
Tue Mar 22 14:19:44 2022	1647933584	0	2320	2320	2319
Tue Mar 22 14:19:42 2022	1647933582	3	2330	2333	2329
Tue Mar 22 14:20:46 2022	1647933646	0	2336	2336	2335
Tue Mar 22 14:19:42 2022	1647933582	3	2337	2340	2336
Tue Mar 22 14:19:42 2022	1647933582	3	2337	2340	2337
Tue Mar 22 14:19:42 2022	1647933582	3	2338	2341	2338
Tue Mar 22 14:20:46 2022	1647933646	0	2348	2348	2348
Tue Mar 22 14:19:44 2022	1647933584	0	2350	2350	2350
Tue Mar 22 14:19:44 2022	1647933584	0	2378	2378	2378
Tue Mar 22 14:20:46 2022	1647933646	0	2378	2379	2378
Tue Mar 22 14:19:44 2022	1647933584	0	2383	2383	2383
Tue Mar 22 14:19:44 2022	1647933584	0	2387	2387	2387
Tue Mar 22 14:19:44 2022	1647933584	0	2388	2388	2387
Tue Mar 22 14:19:44 2022	1647933584	0	2404	2404	2404
Tue Mar 22 14:19:44 2022	1647933584	0	2412	2412	2411
Tue Mar 22 14:19:42 2022	1647933582	3	2417	2420	2416
Tue Mar 22 14:20:46 2022	1647933646	0	2429	2429	2428
Tue Mar 22 14:19:44 2022	1647933584	0	2431	2431	2431
Tue Mar 22 14:19:44 2022	1647933584	0	2435	2435	2434
Tue Mar 22 14:19:44 2022	1647933584	0	2446	2446	2446
Tue Mar 22 14:19:42 2022	1647933582	3	2444	2447	2444
Tue Mar 22 14:20:46 2022	1647933646	0	2461	2462	2457
Tue Mar 22 14:19:44 2022	1647933584	0	2462	2462	2462
Tue Mar 22 14:19:42 2022	1647933582	2	2462	2464	2461
Tue Mar 22 14:19:42 2022	1647933582	3	2465	2467	2464
Tue Mar 22 14:19:44 2022	1647933584	0	2470	2471	2470
Tue Mar 22 14:19:42 2022	1647933582	2	2473	2475	2473
Tue Mar 22 14:20:46 2022	1647933646	0	2479	2479	2478
Tue Mar 22 14:19:44 2022	1647933584	0	2479	2479	2479
Tue Mar 22 14:19:42 2022	1647933582	3	2477	2480	2477
Tue Mar 22 14:19:42 2022	1647933582	2	2481	2483	2480
Tue Mar 22 14:19:42 2022	1647933582	3	2484	2487	2484
Tue Mar 22 14:19:44 2022	1647933584	0	2488	2488	2487
Tue Mar 22 14:20:46 2022	1647933646	0	2489	2489	2488
Tue Mar 22 14:19:44 2022	1647933584	0	2491	2491	2491
Tue Mar 22 14:20:46 2022	1647933646	0	2493	2493	2491
Tue Mar 22 14:19:42 2022	1647933582	3	2491	2494	2490
Tue Mar 22 14:19:42 2022	1647933582	3	2491	2494	2490
Tue Mar 22 14:19:42 2022	1647933582	3	2491	2494	2490
Tue Mar 22 14:19:42 2022	1647933582	3	2495	2498	2495
Tue Mar 22 14:20:46 2022	1647933646	0	2498	2498	2498
Tue Mar 22 14:19:42 2022	1647933582	3	2502	2505	2502
Tue Mar 22 14:20:46 2022	1647933646	0	2506	2506	2506
Tue Mar 22 14:19:42 2022	1647933582	3	2508	2511	2508
Tue Mar 22 14:19:42 2022	1647933582	3	2511	2514	2511
Tue Mar 22 14:19:42 2022	1647933582	2	2516	2518	2516
Tue Mar 22 14:19:44 2022	1647933584	0	2521	2521	2520
Tue Mar 22 14:19:48 2022	1647933588	0	2535	2535	2534
Tue Mar 22 14:19:48 2022	1647933588	0	2539	2539	2538
Tue Mar 22 14:19:42 2022	1647933582	3	2539	2542	2539
Tue Mar 22 14:19:42 2022	1647933582	3	2546	2549	2545
Tue Mar 22 14:19:44 2022	1647933584	0	2565	2565	2564
Tue Mar 22 14:20:45 2022	1647933645	0	2587	2587	2587
Tue Mar 22 14:19:48 2022	1647933588	0	2592	2592	2591
Tue Mar 22 14:19:44 2022	1647933584	0	2593	2594	2593
Tue Mar 22 14:19:42 2022	1647933582	3	2595	2598	2595
Tue Mar 22 14:19:42 2022	1647933582	2	2601	2603	2601
Tue Mar 22 14:19:48 2022	1647933588	0	2609	2609	2609
Tue Mar 22 14:19:48 2022	1647933588	0	2613	2613	2612
Tue Mar 22 14:19:42 2022	1647933582	2	2614	2615	2613
